# IPTS  RUN   ratio  angle_at_max intensity
20354 78517 1.7517394507428476 25.8628 1661444.0
17379 60509 1.7037262273637988 33.4867 3594574.0
13326 53351 2.6846963210216965 25.9795 344525.0
20354 78678 1.8342761226207833 52.6425 974060.0
13003 44104 5.368970376133905 156.033 2107760.0
15729 56091 2.758100871118195 76.263 2499546.0
14061 52939 2.948483530052579 104.72 2682249.0
13867 52356 2.8517739890330462 31.7262 4775255.0
16287 61545 1.8528109289783727 25.9795 18144642.0
15975 56039 1.7667158578597715 111.432 30690453.0
20354 78907 1.9043603348170077 131.396 575598.0
14599 52596 3.9487139052284568 99.4482 14971836.0
20354 78897 1.8618293687079583 133.157 681317.0
13867 52221 1.6835023478711726 104.836 2858334.0
20354 79017 1.913288744897196 69.9997 508054.0
16287 61432 1.895712889808814 131.279 969161.0
12505 59317 3.6407787690413103 76.263 34655769.0
14179 51951 1.8487563079422216 95.1135 8426282.0
19386 76469 1.9469124362938484 25.8628 8276477.0
17379 59593 1.845014491787987 139.372 1650935.0
17699 62685 1.956053340882172 29.3764 6909672.0
20354 78870 1.8549129483344549 131.513 707396.0
16550 64435 2.599326901394449 138.555 824842.0
14061 53029 2.3114611313043 105.999 3010366.0
15729 56101 2.4357893145734266 76.263 3202006.0
13003 44094 4.345695904322606 156.033 2876667.0
14995 55643 3.8175278676619233 25.0472 58246275.0
13326 53226 2.6372341273671003 25.3965 476638.0
20354 78460 1.7761827719143017 25.9795 1582300.0
17137 59334 2.695497706082719 105.999 2142841.0
17894 70614 3.863894952366448 153.693 2659365.0
17379 60499 1.7076808356232287 33.2522 3504163.0
13068 47624 1.8172102611470162 105.999 16321879.0
20776 80927 2.3035831639319904 102.851 2611156.0
13326 53149 2.7819246572107743 26.213 317615.0
16287 61822 1.8862013298202223 131.513 1064204.0
20354 78487 1.7876004570832549 25.9795 1595333.0
20354 78544 1.732729319824376 25.9795 1415752.0
17137 59409 2.54600802675942 105.999 25877691.0
13003 44238 4.764072213935106 156.033 6007317.0
17699 62839 1.9653087094429764 29.9638 887485.0
13435 46412 2.040832210746894 18.5502 801720.0
15370 55929 2.175864635049055 111.432 47218072.0
18958 74327 1.9928146679881071 102.616 2885740.0
21266 79668 1.7855522566600521 63.1918 33545571.0
13003 44157 4.205290173621166 156.033 8995735.0
17894 70730 2.3340529951612514 133.979 2319608.0
16287 61516 1.7395653980882266 18.5502 1145324.0
16287 61679 1.8703585253600807 105.883 14597489.0
20354 78954 1.8063589708507701 133.157 760123.0
16287 61461 1.8958258751887505 27.7339 807283.0
19386 72705 1.8416639827737058 26.213 27217926.0
20354 78823 1.8293223411241273 52.7593 1219773.0
13867 52295 3.258669170014601 156.033 2723819.0
16550 64466 2.449644965764103 138.672 788938.0
17379 59648 1.8125917198721337 138.555 2308660.0
14550 55361 7.356561041363201 152.284 9108676.0
