# IPTS  RUN   ratio  angle_at_max intensity
20354 78489 1.7557676360000352 26.0962 1594154.0
15173 56664 2.875130438486275 112.015 16528864.0
13326 53360 2.6949645662644977 25.513 278407.0
10999 39906 2.6916721538707917 17.2665 20581216.0
20354 78670 1.708031142319221 25.9795 220437147.0
10999 39850 3.173664592637219 17.0326 175057463.0
16427 59803 2.626041528425332 32.7829 1258367.0
20354 78529 1.7290841175643135 25.6296 1436014.0
19355 75718 2.8795175553716006 15.6273 1188696.0
20354 78856 1.8436495763142655 136.564 678687.0
17806 70432 1.7519624883790816 26.3298 19810181.0
13326 53214 2.678165355946627 25.7462 531133.0
20354 78672 1.7117913516056873 25.9795 216857226.0
16529 62550 2.239740687543589 26.0962 21697068.0
20354 78548 1.7598794556090307 52.7593 1267251.0
19355 75713 4.925920196308546 15.51 562380.0
16427 60077 3.3039091873271467 27.4996 1038093.0
13326 53136 2.8561175923519837 25.7462 292468.0
13376 48978 2.525944158778139 18.7831 3915602.0
15382 56236 2.4069536822466415 31.0212 10914994.0
13326 53397 2.646504690798851 25.6296 801889.0
19355 75729 4.319843921653452 15.3927 702724.0
16427 59983 3.4315157951494264 27.6167 1097932.0
20354 78597 1.703528867803987 25.8628 1444741.0
20354 78875 1.9052994609177314 132.922 627177.0
16427 60065 3.223200048602716 27.1483 1135739.0
20354 78909 1.8271457376265408 133.039 673498.0
10764 33233 2.7875508820287878 105.999 13582890.0
20354 78994 1.7982947995672711 129.641 676636.0
20354 78711 1.9827615322425736 52.6425 947474.0
16427 60004 3.5938174047213707 27.4996 1003268.0
13376 48914 2.859950186531214 18.8994 2506551.0
20354 78842 1.8282985960368903 52.6425 1059572.0
13326 53234 2.649086274148469 25.6296 488385.0
13326 53361 2.7589934014420017 26.3298 157004.0
10764 33223 3.674971273582591 129.174 6480098.0
10999 39876 3.2954895724055646 17.1496 9363569.0
13326 53358 2.6627387464594663 26.213 508751.0
16427 59887 2.5288204197295583 32.6655 1524839.0
14179 51909 3.980178902472523 25.8628 870083.0
16529 62596 2.300057451227836 25.9795 1832859.0
20354 78572 1.7644456777610287 29.259 1700924.0
13376 48895 2.967190542017214 18.8994 21199954.0
16529 62611 2.0225314711171616 58.983 1784970.0
17806 70425 2.346562881194115 63.8966 528707008.0
20354 78794 1.924410758693272 52.6425 706926.0
13326 53151 2.8358644039640146 26.0962 505649.0
